dataset,id,name,address,expected_town,variant_1,variant_2,variant_3
shelters,SHELTER_038,延和公園棒壘球場,彰化縣彰化市埔西街212-246號,彰化市,彰化縣彰化市埔西街212之246號,彰化縣彰化市埔西街212-246號,
shelters,SHELTER_063,永豐社區活動中心,彰化縣埤頭鄉東西路621號,埤頭鄉,彰化縣埤頭鄉東西路621號,,
shelters,SHELTER_069,元埔社區活動中心,彰化縣埤頭鄉文化路495巷11號,埤頭鄉,彰化縣埤頭鄉文化路495巷11號,,
shelters,SHELTER_075,陸嘉社區活動中心,彰化縣埤頭鄉中華路434號,埤頭鄉,彰化縣埤頭鄉中華路434號,,
shelters,SHELTER_080,光化村活動中心,彰化縣二水鄉光進一巷20-1號,二水鄉,彰化縣二水鄉光進一巷20之1號,彰化縣二水鄉光進一巷20-1號,
shelters,SHELTER_083,大園村活動中心,彰化縣二水鄉大園巷11-9號,二水鄉,彰化縣二水鄉大園巷11之9號,彰化縣二水鄉大園巷11-9號,
shelters,SHELTER_084,惠民村活動中心,彰化縣二水鄉山腳路一段48-1號,二水鄉,彰化縣二水鄉山腳路一段48之1號,彰化縣二水鄉山腳路一段48-1號,
shelters,SHELTER_085,文化村活動中心,彰化縣二水鄉文化一巷1號,二水鄉,彰化縣二水鄉文化一巷1號,,
shelters,SHELTER_086,二水村活動中心,彰化縣二水鄉正德巷5號,二水鄉,彰化縣二水鄉正德巷5號,,
shelters,SHELTER_088,海豐村活動中心,彰化縣二水鄉山腳路一段113-5號,二水鄉,彰化縣二水鄉山腳路一段113之5號,彰化縣二水鄉山腳路一段113-5號,
shelters,SHELTER_091,受玄宮,彰化縣二水鄉裕民巷53號,二水鄉,彰化縣二水鄉裕民巷53號,,
shelters,SHELTER_098,頂庄國小,彰化縣大城鄉許厝巷10號,大城鄉,彰化縣大城鄉許厝巷10號,,
shelters,SHELTER_104,北斗家商,彰化縣北斗鎮學府路50號,北斗鎮,彰化縣北斗鎮學府路50號,,
shelters,SHELTER_111,螺陽國小,彰化縣北斗鎮文苑路二段150號,北斗鎮,彰化縣北斗鎮文苑路二段150號,,
shelters,SHELTER_112,北斗國中,彰化縣北斗鎮文苑路136號,北斗鎮,彰化縣北斗鎮文苑路136號,,
shelters,SHELTER_117,大嘉國小,彰化縣和美鎮彰和路3段50號,和美鎮,彰化縣和美鎮彰和路3段50號,,
shelters,SHELTER_122,新庄國小,彰化縣和美鎮彰新路2段500號,和美鎮,彰化縣和美鎮彰新路2段500號,,
shelters,SHELTER_151,溪州國小,彰化縣溪州鄉中山路3段415號,溪州鄉,彰化縣溪州鄉中山路3段415號,,
shelters,SHELTER_159,大莊國小,彰化縣溪州鄉村中橫巷1號,溪州鄉,彰化縣溪州鄉村中橫巷1號,,
shelters,SHELTER_167,東勢社區活動中心,彰化縣二林鎮面前巷2-20號,二林鎮,彰化縣二林鎮面前巷2之20號,彰化縣二林鎮面前巷2-20號,
shelters,SHELTER_171,永南社區活動中心,彰化縣永靖鄉永西路155號,永靖鄉,彰化縣永靖鄉永西路155號,,
shelters,SHELTER_173,港西社區活動中心,彰化縣永靖鄉福德巷36-1號,永靖鄉,彰化縣永靖鄉福德巷36之1號,彰化縣永靖鄉福德巷36-1號,
