address,status,x,y,address_id,full_address
彰化縣二林鎮中西里中三路1號,ok,183540.258,2641583.560,BNS6533-7,彰化縣二林鎮中西里007鄰中三路１號
彰化縣二林鎮二城路6號,ok,184717.951,2643022.515,BNS6605-6,彰化縣二林鎮中西里008鄰二城路６號
彰化縣二林鎮二林鎮廣興里廣興巷2-1號,ok,185096.220,2641455.570,BNT2315-8,彰化縣二林鎮廣興里001鄰廣興巷２之１號
彰化縣二林鎮二溪路六段433號,ok,190961.630,2650081.670,BNV1506-3,彰化縣二林鎮永興里011鄰二溪路六段４３３號
彰化縣二林鎮光復路73號,ok,193284.767,2649397.303,BNV2853-3,彰化縣二林鎮華崙里018鄰光復路７３號
彰化縣二林鎮南光里懷仁街8號,ok,185459.646,2643424.119,BNT0625-0,彰化縣二林鎮南光里023鄰懷仁街８號
彰化縣二林鎮原斗里中正巷12之1號,ok,190842.111,2642922.411,BNT1509-1,彰化縣二林鎮原斗里006鄰中正巷１２號之１
彰化縣二林鎮原斗里原竹路872號,ok,191623.541,2643437.052,BNT1619-7,彰化縣二林鎮原斗里009鄰原竹路８７２號
彰化縣二林鎮同安巷80-1號,ok,,,,
彰化縣二林鎮外竹里中南巷2號,ok,187916.898,2640985.218,BNT1912-9,彰化縣二林鎮外竹里005鄰中南巷２號
彰化縣二林鎮外竹里中南巷41之1號,ok,187632.650,2641221.100,BNT1863-7,彰化縣二林鎮外竹里003鄰中南巷４１之１號
彰化縣二林鎮大永路17之1號,ok,,,,
彰化縣二林鎮廣興里廣興巷2-1號,ok,185096.220,2641455.570,BNT2315-8,彰化縣二林鎮廣興里001鄰廣興巷２之１號
彰化縣二林鎮廣興里溝頭巷51號,ok,185050.957,2639422.044,BNT2677-0,彰化縣二林鎮廣興里007鄰溝頭巷５１號
彰化縣二林鎮復豐里𥕟瑤巷5號,ok,191850.676,2642238.443,BNT6595-6,彰化縣二林鎮復豐里002鄰原竹路５號
彰化縣二林鎮復豐里𥕟磘巷17號,ok,191621.365,2642307.538,BNT6553-6,彰化縣二林鎮復豐里002鄰原竹路１７號
彰化縣二林鎮懷仁街8號,ok,185459.646,2643424.119,BNT0625-0,彰化縣二林鎮南光里023鄰懷仁街８號
彰化縣二林鎮斗苑路4段500號,ok,186592.406,2644079.377,BNV8182-1,彰化縣二林鎮豐田里007鄰斗苑路四段５００號
彰化縣二林鎮斗苑路一段865號,ok,191658.211,2643654.966,BNT1183-0,彰化縣二林鎮原斗里002鄰斗苑路一段８６５號
彰化縣二林鎮斗苑路五段22號,ok,186013.820,2644081.778,BNT7802-8,彰化縣二林鎮東和里006鄰斗苑路五段２２號
彰化縣二林鎮斗苑路四段586號,ok,186404.988,2644139.359,BNV8517-5,彰化縣二林鎮豐田里010鄰斗苑路四段５８６號
彰化縣二林鎮東勢里中路巷5號,ok,192535.080,2645001.110,BNT7262-1,彰化縣二林鎮東勢里004鄰中路巷５號
彰化縣二林鎮東勢里東勢巷9號,ok,192268.809,2645503.566,BNT7369-1,彰化縣二林鎮東勢里006鄰東勢巷９號
彰化縣二林鎮東勢里面前巷2-20號,ok,192593.417,2644858.371,BNT7251-9,彰化縣二林鎮東勢里003鄰面前巷２號之２０
彰化縣二林鎮東和里中山路2號,ok,185798.994,2644033.587,BNT7832-3,彰化縣二林鎮東和里007鄰中正路２號
彰化縣二林鎮東和里斗苑路5段22號,ok,186013.820,2644081.778,BNT7802-8,彰化縣二林鎮東和里006鄰斗苑路五段２２號
彰化縣二林鎮東興里福建巷45號之1,ok,206449.270,2650048.580,BMS7707-9,彰化縣員林市惠來里002鄰南昌路４５號之１
彰化縣二林鎮東興里竹林路3段393號,ok,188424.009,2643139.519,BNT9199-0,彰化縣二林鎮東興里001鄰竹林路三段３９３號
彰化縣二林鎮梅芳里太平路四段臨69號,ok,192753.780,2648538.110,BNV0397-2,彰化縣二林鎮梅芳里010鄰太平路四段臨６９號
彰化縣二林鎮福建巷45-1號,ok,,,,
彰化縣二林鎮育英街178巷56號,ok,186516.960,2643602.620,BNT9691-7,彰化縣二林鎮東興里012鄰育英街１７８巷５６號
彰化縣二林鎮興華里中農路20號,ok,188919.277,2643365.892,BNV1710-6,彰化縣二林鎮興華里006鄰中農路２０號
彰化縣二林鎮華崙里光復路37號,ok,193822.116,2649019.485,BNV2371-0,彰化縣二林鎮華崙里006鄰光復路３７號
彰化縣二林鎮華崙里光復路44號,ok,193879.143,2649151.374,BNV2333-5,彰化縣二林鎮華崙里004鄰光復路４４號
彰化縣二林鎮萬合里江山巷1號,ok,189891.817,2646885.827,BNV3939-2,彰化縣二林鎮萬合里008鄰江山巷１號
彰化縣二林鎮萬興里二溪路六段626號,ok,190472.174,2650282.418,BNV5535-5,彰化縣二林鎮萬興里010鄰二溪路六段６２６號
彰化縣二林鎮西和一街65號,ok,185043.660,2643800.300,BNV5928-8,彰化縣二林鎮西平里013鄰西和一街６５號
彰化縣二林鎮西平里民族巷8號之1,ok,196607.283,2659282.598,BLZ3016-7,彰化縣福興鄉大崙村009鄰大崙街８號之１
彰化縣二林鎮西平里西和一街65號,ok,185043.660,2643800.300,BNV5928-8,彰化縣二林鎮西平里013鄰西和一街６５號
彰化縣二林鎮西庄里泉西巷31號之1,ok,,,,
彰化縣二林鎮西斗里再發路45-1號,ok,190170.858,2644510.009,BNV7396-0,彰化縣二林鎮西斗里007鄰再發路４５號之１
彰化縣二林鎮西斗里再發路6號,ok,190420.251,2644510.820,BNV7256-9,彰化縣二林鎮西斗里001鄰再發路６號
彰化縣二林鎮豐田里斗苑路4段500號,ok,186592.406,2644079.377,BNV8182-1,彰化縣二林鎮豐田里007鄰斗苑路四段５００號
彰化縣二林鎮豐田里斗苑路四段586號,ok,186404.988,2644139.359,BNV8517-5,彰化縣二林鎮豐田里010鄰斗苑路四段５８６號
