dataset,id,name,town,address,failure,api_best_guess,query,google_search_url,google_url,lat,lng,note
避難收容處所,SHELTER_038,延和公園棒壘球場,彰化市,彰化縣彰化市埔西街212-246號,api_無此門牌,,彰化縣彰化市埔西街212-246號,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%BD%B0%E5%8C%96%E5%B8%82%E5%9F%94%E8%A5%BF%E8%A1%97212-246%E8%99%9F,"https://www.google.com/maps/place/彰化市延和球場/@24.06064,120.540099,17z/data=!3m1!4b1!4m6!3m5!1s0x34693863578555c5:0xa634cd258d!8m2!3d24.0606400!4d120.5400990",,,Google 地圖：彰化市延和球場（延和公園內）
避難收容處所,SHELTER_063,永豐社區活動中心,埤頭鄉,彰化縣埤頭鄉東西路621號,api_無此門牌,,彰化縣埤頭鄉東西路621號,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%9F%A4%E9%A0%AD%E9%84%89%E6%9D%B1%E8%A5%BF%E8%B7%AF621%E8%99%9F,,,,
避難收容處所,SHELTER_069,元埔社區活動中心,埤頭鄉,彰化縣埤頭鄉文化路495巷11號,api_無此門牌,,彰化縣埤頭鄉文化路495巷11號,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%9F%A4%E9%A0%AD%E9%84%89%E6%96%87%E5%8C%96%E8%B7%AF495%E5%B7%B711%E8%99%9F,,,,
避難收容處所,SHELTER_075,陸嘉社區活動中心,埤頭鄉,彰化縣埤頭鄉中華路434號,api_僅模糊比對,彰化縣埤頭鄉興農村012鄰十號路４３４號,彰化縣埤頭鄉中華路434號,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%9F%A4%E9%A0%AD%E9%84%89%E4%B8%AD%E8%8F%AF%E8%B7%AF434%E8%99%9F,,,,
避難收容處所,SHELTER_080,光化村活動中心,二水鄉,彰化縣二水鄉光進一巷20-1號,api_無此門牌,,彰化縣二水鄉光進一巷20-1號,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E4%BA%8C%E6%B0%B4%E9%84%89%E5%85%89%E9%80%B2%E4%B8%80%E5%B7%B720-1%E8%99%9F,,,,
避難收容處所,SHELTER_083,大園村活動中心,二水鄉,彰化縣二水鄉大園巷11-9號,api_無此門牌,,彰化縣二水鄉大園巷11-9號,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E4%BA%8C%E6%B0%B4%E9%84%89%E5%A4%A7%E5%9C%92%E5%B7%B711-9%E8%99%9F,,,,
避難收容處所,SHELTER_084,惠民村活動中心,二水鄉,彰化縣二水鄉山腳路一段48-1號,api_僅模糊比對,雲林縣四湖鄉四湖村007鄰中山東路４８之１號,彰化縣二水鄉山腳路一段48-1號,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E4%BA%8C%E6%B0%B4%E9%84%89%E5%B1%B1%E8%85%B3%E8%B7%AF%E4%B8%80%E6%AE%B548-1%E8%99%9F,,,,
避難收容處所,SHELTER_085,文化村活動中心,二水鄉,彰化縣二水鄉文化一巷1號,api_無此門牌,,彰化縣二水鄉文化一巷1號,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E4%BA%8C%E6%B0%B4%E9%84%89%E6%96%87%E5%8C%96%E4%B8%80%E5%B7%B71%E8%99%9F,,,,
避難收容處所,SHELTER_086,二水村活動中心,二水鄉,彰化縣二水鄉正德巷5號,api_無此門牌,,彰化縣二水鄉正德巷5號,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E4%BA%8C%E6%B0%B4%E9%84%89%E6%AD%A3%E5%BE%B7%E5%B7%B75%E8%99%9F,,,,
避難收容處所,SHELTER_088,海豐村活動中心,二水鄉,彰化縣二水鄉山腳路一段113-5號,api_僅模糊比對,彰化縣伸港鄉海尾村008鄰海尾路１１３之５號,彰化縣二水鄉山腳路一段113-5號,https://www.google.com/maps/search/?api=1&query=%E5%BD%B0%E5%8C%96%E7%B8%A3%E4%BA%8C%E6%B0%B4%E9%84%89%E5%B1%B1%E8%85%B3%E8%B7%AF%E4%B8%80%E6%AE%B5113-5%E8%99%9F,,,,
